First Name,Last Name,Email,Phone Number,Street Address,City,State,Lifecycle Stage,Main Contact
Leslie,Knope,leslie.knope@cocaola.com,555-843-8116,68 Street Rd,Pawnee,IN,Lead,Phone
Ron,Swanson,ron.swanson@cocaola.com,555-684-3214,2 Street Rd,Pawnee,IN,Lead,Phone
April,Ludgate,april.ludgate@cocaola.com,555-879-2050,14 Street Rd,Pawnee,IN,Subscriber,Email
Andy,Dwyer,andy.dwyer@netflix.com,555-715-8261,73 Street Rd,Pawnee,IN,Lead,Email
Tom,Haverford,tom.haverford@netflix.com,555-452-9889,24 Street Rd,Pawnee,IN,Customer,Email
Jerry,Gergich,jerry.gergich@boeing.com,555-792-3506,9 Street Rd,Pawnee,IN,Lead,Email
Donna,Meagle,donna.meagle@boeing.com,555-595-7884,21 Street Rd,Pawnee,IN,Lead,Phone
Ann,Perkins,ann.perkins@primeconsulting.com,555-207-1944,72 Street Rd,Pawnee,IN,Lead,Email
Ben,Wyatt,ben.wyatt@primeconsulting.com,555-589-8082,6 Street Rd,Pawnee,IN,Lead,Email
Chris,Traeger,chris.traeger@homefences.com,555-905-1315,67 Street Rd,Pawnee,IN,Lead,Phone
Perd,Hapley,perd.hapley@homefences.com,555-546-4162,35 Street Rd,Pawnee,IN,Lead,Phone
Mark,Brendanawicz,mark.brendanawicz@netflix.com,555-882-2619,41 Street Rd,Pawnee,IN,Lead,Email
